designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_visibility_periods_used,rv_chisq_pvalue,rv_time_duration,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 661248908580612608,661248908580612608,130.52086685190554,19.59962322406053,,,,,21.667744,,,,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248908584536064,661248908584536064,130.5227652088153,19.599362352282643,2.698015362833343,-5.84886574971838,-34.16965421451266,1.2158955,10.384342,10.85638,9.747725,1.1086559,0.47203827,0.63661766,37.041073,0.16569646,36,14,0.01336047,936.1781,NOT_AVAILABLE,0,true,true,true,false,false,true,true,4894.746,3.1541,-0.3592,384.7371,0.0078,0.0062,0.0033
Gaia DR3 661248942940337280,661248942940337280,130.52579307915946,19.606163259426037,-0.0725931262377621,19.203300503164744,-14.39788711055146,1.0206189,20.405186,21.197552,19.350098,1.8474541,0.792366,1.055088,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661248973004479360,661248973004479360,130.51324855476497,19.609264374476687,0.8022461254472149,0.8079199218615747,-7.859628343875036,1.0543646,18.131363,19.03666,17.188566,1.848093,0.9052963,0.9427967,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3831.2576,4.7667,-0.3357,771.421,0.1731,0.1224,0.0681
Gaia DR3 661249011659814144,661249011659814144,130.51844520086152,19.611466636089077,0.9077621551634153,-1.7755591605818744,-3.1702726889277177,1.1159313,19.732645,20.80166,18.699501,2.1021595,1.0690155,1.033144,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249144803176448,661249144803176448,130.55399763293528,19.616567792853186,0.2719142346903398,-8.846230393606485,-1.075880121129172,1.0283042,18.524155,19.133278,17.745373,1.3879051,0.60912323,0.7787819,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4260.5938,4.8618,-1.2263,1155.5557,0.006,0.0045,0.0024
Gaia DR3 661249144805766912,661249144805766912,130.55616597681666,19.62140086375628,1.6373157667235074,-23.99616378259145,3.0867786521063088,0.97723347,20.313633,21.572678,19.16609,2.4065876,1.2590446,1.147543,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249144805769088,661249144805769088,130.55952582391694,19.62316714532878,,,,,20.998817,21.53087,19.863539,1.6673317,0.532053,1.1352787,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249149101117440,661249149101117440,130.57016233093458,19.61774108215861,2.138814697136358,-8.89216204351908,-9.47849773265074,1.0478187,12.851063,13.206748,12.335544,0.8712044,0.35568523,0.51551914,6.4630666,0.9686282,31,16,,967.8826,NOT_AVAILABLE,0,true,true,true,false,false,true,true,5633.7397,4.3391,-0.1613,461.6089,0.0159,0.0131,0.007
Gaia DR3 661249316602236672,661249316602236672,130.5389457151696,19.612570274034848,0.23899168497572298,-6.699148506367647,0.09888704008369292,1.0433753,20.38202,21.265444,19.170216,2.0952282,0.88342285,1.2118053,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249350961611264,661249350961611264,130.5473596231252,19.62744368687585,0.2371089887217907,5.827489570822755,-11.662976807418586,1.032503,20.37244,20.973345,19.658068,1.3152771,0.60090446,0.71437263,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249385321352192,661249385321352192,130.5258138521441,19.631069991449145,-1.8839405028747718,-1.1942463646913632,-1.1912392001153205,1.0303507,19.919775,20.368984,19.49415,0.87483406,0.4492092,0.42562485,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249385321355264,661249385321355264,130.52626636055845,19.63504190626287,0.23204712102452807,-4.568777519933574,-4.717719084156891,1.0471176,20.403563,20.992031,19.62152,1.370512,0.58846855,0.78204346,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249389620950400,661249389620950400,130.52127003961542,19.629012571812872,,,,,20.932655,19.039867,17.84256,1.1973076,-1.8927879,3.0900955,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661249419681094656,661249419681094656,130.53547196723375,19.635380563944082,0.04685383713537313,0.13284014504598274,-3.881142503964558,1.0010587,18.70674,19.109028,18.125198,0.9838295,0.40228844,0.58154106,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5084.9165,4.7922,-1.4408,2443.4373,0.0028,0.0023,0.0012
