source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3017364127743285376,83.81359715150082,-5.38246297049439,2.431629427810543,2.273709660397339,0.01242345615211064,1.1834528,12.754051,1.1676064,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361039666175104,83.84348317444876,-5.403742371243474,3.005614275855464,2.6936430345686744,-0.06024478426620038,0.4517231,17.830648,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361039673476224,83.84302969403024,-5.403963397985975,2.4924795558370954,1.5517026346134306,-0.5389081503320997,1.0024182,14.859428,0.7538338,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361039676491392,83.84215468168449,-5.405632750507202,1.1031046288024047,1.6509886891342846,-1.457922247483507,1.0382388,17.944786,0.668602,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017364127743286272,83.81388903465981,-5.373611049677991,,,,,17.169113,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361104086334080,83.83527050562812,-5.391611127408067,2.4387034950119495,0.5565523294611143,1.0214300086354362,1.3857468,14.633403,1.2354345,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361104086334976,83.83615317464182,-5.3981209714737055,2.6573233925851265,2.04874092976811,0.16835836892743666,0.35960743,16.117193,0.6870384,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361104086337536,83.83903255482565,-5.395948111197303,2.685365655768198,2.036067853758338,1.740792512149109,1.1356609,14.645139,0.9049921,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361108385467136,83.83714724676591,-5.389397221479073,2.621510170081607,0.6225197088830542,0.16004361928625108,0.7527668,17.050268,0.8521795,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361108385484800,83.83825046085887,-5.392540962070864,3.0870202316342117,2.665645120291848,1.5285294482511051,0.50990176,17.81231,0.6746464,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108385493888,83.84053178841582,-5.396767170129385,,,,,18.720562,0.54989815,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108385499520,83.83542418637549,-5.392016110149293,,,,,18.701,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108385508480,83.838783544252,-5.396131735856097,,,,,18.007685,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108385556352,83.82783050115701,-5.399015353415668,2.6183229321896078,1.7365716612538147,0.039344271365974695,0.55758697,17.180853,0.80352783,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361108385638272,83.83886712788075,-5.40318482455805,2.3876540273618305,1.0981944915830957,1.1218907598555223,0.8965106,15.645624,0.74594116,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361108385649024,83.83833951029818,-5.400055078048027,2.6252019808295133,2.043014595166896,-1.2522575405020426,0.429475,18.358576,0.6066818,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108392943488,83.84395477149512,-5.395467675686255,2.5044923794948803,1.8785342861098246,2.043102478262245,0.86029655,14.397565,0.93518734,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361108392946048,83.840724005802,-5.394253393927797,2.431851175099068,-0.11450894311431167,0.0956205006869722,0.77826583,16.46831,0.6999817,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361108392950016,83.84086616061991,-5.398297267424659,2.5864508005435596,1.2506704453104214,1.4804175695718786,1.1490941,12.66067,1.2133808,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361108392954112,83.8375927288572,-5.398812850413065,2.9508353357057686,2.1233021308788778,-1.080988712994235,0.49100116,17.760927,0.6393957,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108392966912,83.83172548182417,-5.399260897570211,2.619965792943785,2.2570773738290506,-1.699233674606067,0.6165452,15.940139,0.691659,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361108392968064,83.82947069363344,-5.397127267020139,2.058015404305752,4.409198823190828,-1.9223123342568758,2.2837398,14.711615,0.83943176,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361108392968192,83.83303941691992,-5.400725797996884,,,,,17.01074,0.77832985,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108393218816,83.83559786568756,-5.4058120007098625,2.781309857041483,0.6728040049460595,0.015217878341517652,0.42906037,16.747477,0.7733507,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361108393637120,83.83770561893832,-5.396945625769692,2.5234456489673147,0.43748671282297785,0.7900072258790622,3.2311814,11.744829,1.4246302,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3017361108395955072,83.8411940751281,-5.398758862796972,2.671183553769447,2.2540164320519342,1.277033880849199,1.4022436,16.291075,1.2908697,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361108395974272,83.82852355266401,-5.399945544820606,,,,,20.30678,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361108395974912,83.82948618975607,-5.400402745540053,,,,,20.202997,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361138446078336,83.84102507868428,-5.385115188559208,2.6674228297845968,2.0627526272014585,1.8078418918085508,0.8867875,18.470818,0.9080086,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3017361138446083456,83.84501201487478,-5.387055499579084,2.460789145054964,1.846687406697404,0.15316825476393398,0.864613,16.144857,1.054327,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3017361142752675200,83.84081530502482,-5.386296574520333,2.482584609915951,1.6135076614292805,-0.19209800849469655,0.64512146,16.518913,1.2429562,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361142752677376,83.83959642620191,-5.387966123092677,2.721193031190987,1.6278671549719064,0.20364473908480596,0.634171,16.931734,1.011219,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3017361142755678464,83.84011271561764,-5.390487439722097,3.212695797546228,1.9961164952167771,0.2596758896346494,1.0629656,18.604185,0.7093687,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
